Full name,Faction,Sort_class,Enemy,Sort_part,Part,Show Main,Main view,Alt view,Credit (3D model). Additional modifications such as highlighting and identification of parts are done by myself.,HP,Armor,Durability,To main,Tag,Demo,ExDR,BaDR,Fire Mult,Correction,Constitution,Main cap,ExVM,Light stagger,Medium stagger,Heavy stagger,Massive stagger,,Notes
Automatons / Light / Trooper / [MAIN],Automatons,1,Light / Trooper,1,[MAIN],0,https://i.postimg.cc/jdBDtxwr/Front-main2.jpg,https://i.postimg.cc/T1F3d0Pc/Side-main2.jpg,Discord : valkyrie9001,125,0,0%,--,Lethal,--,0%,0%,50%,0,0,--,OuterRadius,"1, 0.5, N",--,--,"10, 0.85, Y",,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Trooper / Head,Automatons,1,Light / Trooper,2,Head,--,https://i.postimg.cc/dVdL0brZ/Front-head.jpg,https://i.postimg.cc/mktrWJTD/Side-head.jpg,Discord : valkyrie9001,40,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Trooper / Arm (each),Automatons,1,Light / Trooper,3,Arm (each),--,https://i.postimg.cc/wjKjnwZq/Front-arms.jpg,https://i.postimg.cc/vB8B3Dj5/Side-arms.jpg,Discord : valkyrie9001,65,0,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Trooper / Torso,Automatons,1,Light / Trooper,4,Torso,--,https://i.postimg.cc/QMJCQc6X/Front-torso.jpg,https://i.postimg.cc/y6bdy1TS/Side-torso.jpg,Discord : valkyrie9001,100,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Trooper / Leg (each),Automatons,1,Light / Trooper,5,Leg (each),--,https://i.postimg.cc/MGSXf9mP/Front-legs.jpg,https://i.postimg.cc/kXR5j0jY/Side-legs.jpg,Discord : valkyrie9001,90,0,0%,65%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Commissar / [MAIN],Automatons,1,Light / Commissar,1,[MAIN],0,https://i.postimg.cc/jdBDtxwr/Front-main2.jpg,https://i.postimg.cc/T1F3d0Pc/Side-main2.jpg,Discord : valkyrie9001,125,0,0%,--,Lethal,--,0%,0%,50%,0,0,--,OuterRadius,"1, 0.5, N",--,--,"10, 0.85, Y",,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Commissar / Head,Automatons,1,Light / Commissar,2,Head,--,https://i.postimg.cc/dVdL0brZ/Front-head.jpg,https://i.postimg.cc/mktrWJTD/Side-head.jpg,Discord : valkyrie9001,40,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Commissar / Arm (each),Automatons,1,Light / Commissar,3,Arm (each),--,https://i.postimg.cc/wjKjnwZq/Front-arms.jpg,https://i.postimg.cc/vB8B3Dj5/Side-arms.jpg,Discord : valkyrie9001,65,0,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Commissar / Torso,Automatons,1,Light / Commissar,4,Torso,--,https://i.postimg.cc/QMJCQc6X/Front-torso.jpg,https://i.postimg.cc/y6bdy1TS/Side-torso.jpg,Discord : valkyrie9001,100,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Commissar / Leg (each),Automatons,1,Light / Commissar,5,Leg (each),--,https://i.postimg.cc/MGSXf9mP/Front-legs.jpg,https://i.postimg.cc/kXR5j0jY/Side-legs.jpg,Discord : valkyrie9001,90,0,0%,65%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Rocket Raider / [MAIN],Automatons,1,Light / Rocket Raider,1,[MAIN],0,https://i.postimg.cc/jdBDtxwr/Front-main2.jpg,https://i.postimg.cc/T1F3d0Pc/Side-main2.jpg,Discord : valkyrie9001,125,0,0%,--,Lethal,--,0%,0%,50%,0,0,--,OuterRadius,"1, 0.5, N",--,--,"10, 0.85, Y",,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Rocket Raider / Head,Automatons,1,Light / Rocket Raider,2,Head,--,https://i.postimg.cc/dVdL0brZ/Front-head.jpg,https://i.postimg.cc/mktrWJTD/Side-head.jpg,Discord : valkyrie9001,40,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Rocket Raider / Arm (each),Automatons,1,Light / Rocket Raider,3,Arm (each),--,https://i.postimg.cc/wjKjnwZq/Front-arms.jpg,https://i.postimg.cc/vB8B3Dj5/Side-arms.jpg,Discord : valkyrie9001,65,0,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Rocket Raider / Torso,Automatons,1,Light / Rocket Raider,4,Torso,--,https://i.postimg.cc/QMJCQc6X/Front-torso.jpg,https://i.postimg.cc/y6bdy1TS/Side-torso.jpg,Discord : valkyrie9001,100,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Rocket Raider / Leg (each),Automatons,1,Light / Rocket Raider,5,Leg (each),--,https://i.postimg.cc/MGSXf9mP/Front-legs.jpg,https://i.postimg.cc/kXR5j0jY/Side-legs.jpg,Discord : valkyrie9001,90,0,0%,65%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Marauder / [MAIN],Automatons,1,Light / Marauder,1,[MAIN],0,https://i.postimg.cc/jdBDtxwr/Front-main2.jpg,https://i.postimg.cc/T1F3d0Pc/Side-main2.jpg,Discord : valkyrie9001,125,0,0%,--,Lethal,--,0%,0%,50%,0,0,--,OuterRadius,"1, 0.5, N",--,--,"10, 0.85, Y",,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Marauder / Head,Automatons,1,Light / Marauder,2,Head,--,https://i.postimg.cc/dVdL0brZ/Front-head.jpg,https://i.postimg.cc/mktrWJTD/Side-head.jpg,Discord : valkyrie9001,40,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Marauder / Arm (each),Automatons,1,Light / Marauder,3,Arm (each),--,https://i.postimg.cc/wjKjnwZq/Front-arms.jpg,https://i.postimg.cc/vB8B3Dj5/Side-arms.jpg,Discord : valkyrie9001,65,0,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Marauder / Torso,Automatons,2,Light / Marauder,4,Torso,--,https://i.postimg.cc/15gzC8RZ/Front-mg-raider-torso.jpg,https://i.postimg.cc/SRnmvPhG/Side-MG-raider-torso.jpg,Discord : valkyrie9001,100,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,Only applicable to the MG raider (laser machine gun + fusion backpack).
Automatons / Light / Marauder / Leg (each),Automatons,1,Light / Marauder,5,Leg (each),--,https://i.postimg.cc/MGSXf9mP/Front-legs.jpg,https://i.postimg.cc/kXR5j0jY/Side-legs.jpg,Discord : valkyrie9001,90,0,0%,65%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / MG Raider / [MAIN],Automatons,1,Light / MG Raider,1,[MAIN],0,https://i.postimg.cc/jdBDtxwr/Front-main2.jpg,https://i.postimg.cc/T1F3d0Pc/Side-main2.jpg,Discord : valkyrie9001,125,0,0%,--,Lethal,--,0%,0%,50%,0,0,--,OuterRadius,"1, 0.5, N",--,--,"10, 0.85, Y",,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / MG Raider / Head,Automatons,1,Light / MG Raider,2,Head,--,https://i.postimg.cc/dVdL0brZ/Front-head.jpg,https://i.postimg.cc/mktrWJTD/Side-head.jpg,Discord : valkyrie9001,40,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / MG Raider / Arm (each),Automatons,1,Light / MG Raider,3,Arm (each),--,https://i.postimg.cc/wjKjnwZq/Front-arms.jpg,https://i.postimg.cc/vB8B3Dj5/Side-arms.jpg,Discord : valkyrie9001,65,0,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / MG Raider / Torso,Automatons,1,Light / MG Raider,4,Torso,--,https://i.postimg.cc/QMJCQc6X/Front-torso.jpg,https://i.postimg.cc/y6bdy1TS/Side-torso.jpg,Discord : valkyrie9001,100,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / MG Raider / Leg (each),Automatons,1,Light / MG Raider,5,Leg (each),--,https://i.postimg.cc/MGSXf9mP/Front-legs.jpg,https://i.postimg.cc/kXR5j0jY/Side-legs.jpg,Discord : valkyrie9001,90,0,0%,65%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / MG Raider / Backpack,Automatons,1,Light / MG Raider,5,Backpack,--,https://i.postimg.cc/DZzv1HJg/Front-backpack.jpg,https://i.postimg.cc/T3qfFfn0/Side-backpack.jpg,Discord : valkyrie9001,90,0,0%,65%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Brawler / [MAIN],Automatons,1,Light / Brawler,1,[MAIN],0,https://i.postimg.cc/jdBDtxwr/Front-main2.jpg,https://i.postimg.cc/T1F3d0Pc/Side-main2.jpg,Discord : valkyrie9001,125,0,0%,--,Lethal,--,0%,0%,50%,0,0,--,OuterRadius,"1, 0.5, N",--,--,"10, 0.85, Y",,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Brawler / Head,Automatons,1,Light / Brawler,2,Head,--,https://i.postimg.cc/dVdL0brZ/Front-head.jpg,https://i.postimg.cc/mktrWJTD/Side-head.jpg,Discord : valkyrie9001,40,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Brawler / Left arm,Automatons,1,Light / Brawler,3,Left arm,--,https://i.postimg.cc/wjKjnwZq/Front-arms.jpg,https://i.postimg.cc/vB8B3Dj5/Side-arms.jpg,Discord : valkyrie9001,85,0,0%,100%,Lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Brawler / Right arm,Automatons,1,Light / Brawler,3,Right arm,--,https://i.postimg.cc/wjKjnwZq/Front-arms.jpg,https://i.postimg.cc/vB8B3Dj5/Side-arms.jpg,Discord : valkyrie9001,65,0,0%,50%,Non lethal,--,100%,0%,0%,0,0,No,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Brawler / Torso,Automatons,1,Light / Brawler,4,Torso,--,https://i.postimg.cc/QMJCQc6X/Front-torso.jpg,https://i.postimg.cc/y6bdy1TS/Side-torso.jpg,Discord : valkyrie9001,100,0,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Light / Brawler / Leg (each),Automatons,1,Light / Brawler,5,Leg (each),--,https://i.postimg.cc/MGSXf9mP/Front-legs.jpg,https://i.postimg.cc/kXR5j0jY/Side-legs.jpg,Discord : valkyrie9001,90,0,0%,65%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,There are 5 Trooper-type variants : Trooper (laser AR + 50% ExDR [MAIN]) / Brawler (double swords) / Assault Raider (jetpack) / Rocket Raider (rocket launcher) / Commissar (sword + pistol).
Automatons / Medium / Berserker / [MAIN],Automatons,3,Medium / Berserker,1,[MAIN],0,https://i.postimg.cc/nhQ7LY5r/front-main.jpg,https://i.postimg.cc/sDL7y0Tb/side-main.jpg,Discord : valkyrie9001,750,0,0%,--,Lethal,--,0%,0%,125%,0,0,--,OuterRadius,"5, 0.5, N","1, 0.5, N","15, 0.5, N","30, 1.4, Y",,Immaterial [MAIN]. It cannot be targeted like other parts. Explosions will damage it if they hit the enemy and if the conditions (AP / ExDR / etc.) required to damage the [MAIN] are satisfied. However % to Main from other parts works normally.
Automatons / Medium / Berserker / Head,Automatons,3,Medium / Berserker,2,Head,--,https://i.postimg.cc/DybQ2pLs/front-head.jpg,https://i.postimg.cc/MGwm30cB/side-head.jpg,Discord : valkyrie9001,110,1,0%,100%,Lethal,--,100%,0%,0%,0,0,Yes,--,--,--,--,--,,No notes.
